"Filename","FileSize","ModifiedDate"
"gdas1.jan11.w2","571 MB","1/15/11, 11:00:00 AM"
"gdas1.jan11.w3","571 MB","1/22/11, 11:00:00 AM"
"gdas1.jan11.w4","571 MB","1/29/11, 11:00:00 AM"
"gdas1.jan11.w5","245 MB","2/1/11, 11:00:00 AM"
"gdas1.jan12.w1","571 MB","1/8/12, 11:00:00 AM"
"gdas1.jan12.w2","571 MB","1/15/12, 11:00:00 AM"
"gdas1.jan12.w3","571 MB","1/22/12, 11:00:00 AM"
"gdas1.jan12.w4","571 MB","1/29/12, 11:00:00 AM"
"gdas1.jan12.w5","245 MB","2/1/12, 11:00:00 AM"
"gdas1.jan13.w1","571 MB","1/8/13, 11:00:00 AM"
"gdas1.jan13.w2","571 MB","1/15/13, 11:00:00 AM"
"gdas1.jan13.w3","571 MB","1/22/13, 11:00:00 AM"
"gdas1.jan13.w4","571 MB","1/29/13, 11:00:00 AM"
"gdas1.jan13.w5","245 MB","2/1/13, 11:00:00 AM"
"gdas1.jan14.w1","571 MB","1/8/14, 11:00:00 AM"
"gdas1.jan14.w2","571 MB","1/15/14, 11:00:00 AM"
"gdas1.jan14.w3","571 MB","1/22/14, 11:00:00 AM"
"gdas1.jan14.w4","571 MB","1/29/14, 11:00:00 AM"
"gdas1.jan14.w5","245 MB","2/1/14, 11:00:00 AM"
"gdas1.jan15.w1","571 MB","1/8/15, 11:00:00 AM"
"gdas1.jan15.w2","571 MB","1/15/15, 11:00:00 AM"
"gdas1.jan15.w3","571 MB","1/22/15, 11:00:00 AM"
"gdas1.jan15.w4","571 MB","1/29/15, 11:00:00 AM"
"gdas1.jan15.w5","245 MB","2/1/15, 11:00:00 AM"
"gdas1.jan16.w1","571 MB","1/7/16, 11:00:00 AM"
"gdas1.jan16.w2","571 MB","1/14/16, 11:00:00 AM"
"gdas1.jan16.w3","571 MB","1/21/16, 11:00:00 AM"
"gdas1.jan16.w4","571 MB","1/28/16, 11:00:00 AM"
"gdas1.jan16.w5","245 MB","1/31/16, 11:00:00 AM"
"gdas1.jan17.w1","571 MB","1/8/17, 11:00:00 AM"
"gdas1.jan17.w2","571 MB","1/15/17, 11:00:00 AM"
"gdas1.jan17.w3","571 MB","1/22/17, 11:00:00 AM"
"gdas1.jan17.w4","571 MB","1/29/17, 11:00:00 AM"
"gdas1.jan17.w5","245 MB","2/1/17, 11:00:00 AM"
"gdas1.jan18.w1","571 MB","1/8/18, 11:00:00 AM"
"gdas1.jan18.w2","571 MB","1/15/18, 11:00:00 AM"
"gdas1.jan18.w3","571 MB","1/22/18, 11:00:00 AM"
"gdas1.jan18.w4","571 MB","1/29/18, 11:00:00 AM"
"gdas1.jan18.w5","245 MB","2/1/18, 11:00:00 AM"
